Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A],IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A],delIDS [A],delIDS [A],RatioIDS,RatioIDS
Standard,KCl,-0.4,40.0,0.1,5.056397989417989e-06,1.567086792626688e-06,5.161856825396825e-06,1.6512652390518458e-06,1.0545883597883576e-07,1.0292057750230739e-07,1.0191007048172736,0.016543236879948433
Standard,KCl,-0.4,40.0,0.2,9.822120502645502e-06,3.129351841235396e-06,1.0027268624338625e-05,3.150163660961842e-06,2.0514812169312176e-07,3.560576265391413e-08,1.0217235977685855,0.004830153324703132
Standard,KCl,-0.4,40.0,0.4,1.9825104761904762e-05,6.731883166483398e-06,2.0020569576719575e-05,6.729679454512696e-06,1.954648148148135e-07,5.741857805210424e-08,1.0105125936705415,0.004138328068307484
Standard,KCl,-0.3,0.01,0.05,1.8489433837131818e-06,1.0678527367095053e-06,1.8293277275756365e-06,1.0390726300125841e-06,-1.961565613754491e-08,3.270850183679285e-08,0.992424657180409,0.013927416499816901
Standard,KCl,-0.3,0.01,0.1,4.592503718952864e-06,9.747078651704133e-07,4.601562113092242e-06,9.85186619544885e-07,9.058394139378533e-09,1.1652078045798907e-08,1.001725989341518,0.0021866150955701675
Standard,KCl,-0.3,0.01,0.2,1.0502434480874315e-05,3.543038121892467e-06,1.0513340482473678e-05,3.54590636732378e-06,1.090600159936076e-08,7.285546782165091e-09,1.0010321460892573,0.0007381196901910745
Standard,KCl,-0.3,0.01,0.4,2.0031326802612287e-05,6.7437886004555985e-06,2.0104529148340663e-05,6.7836431261873125e-06,7.3202345728374e-08,5.3047392660973456e-08,1.0035561449467556,0.0019458229431372404
Standard,KCl,-0.3,0.1,0.05,2.604282674650699e-06,7.894419181904933e-07,2.6144191284098465e-06,8.018870692418986e-07,1.013645375914817e-08,2.4229873150504776e-08,1.0033058045900054,0.010055161386910866
Standard,KCl,-0.3,0.1,0.1,4.653294923486361e-06,1.4600571952945621e-06,4.669411377245509e-06,1.4570516770398831e-06,1.6116453759148494e-08,3.380426992393021e-08,1.0038213819950446,0.009009452351640556
Standard,KCl,-0.3,0.1,0.2,1.0666375668662676e-05,3.2403515557180214e-06,1.0679018722554891e-05,3.28670400698079e-06,1.26430538922164e-08,5.9175495846302065e-08,1.000290776980208,0.006358521911483807
Standard,KCl,-0.3,0.1,0.4,1.98475119760479e-05,6.412849718329718e-06,1.9949962807717903e-05,6.496905564112606e-06,1.0245083166999377e-07,8.484969427415252e-08,1.004605018796089,0.002803619187125761
Standard,KCl,-0.3,1.0,0.05,2.642073866666667e-06,8.492927353918985e-07,2.6419951333333336e-06,8.207335236897621e-07,-7.873333333306439e-11,3.111243070821223e-08,1.0020176353568833,0.010848312891205766
Standard,KCl,-0.3,1.0,0.1,4.7261708000000005e-06,1.4962966863214264e-06,4.7477076e-06,1.4993762264467046e-06,2.153679999999937e-08,1.6882338024101542e-08,1.0047169521911001,0.004374938559877898
Standard,KCl,-0.3,1.0,0.2,1.0328770400000001e-05,3.19201440356467e-06,1.03476056e-05,3.2054638175870425e-06,1.883520000000007e-08,3.258652749588567e-08,1.0017749054264682,0.003128387488182141
Standard,KCl,-0.3,1.0,0.4,1.9538719333333335e-05,6.452054150111368e-06,1.9600477333333333e-05,6.502065475297625e-06,6.175800000000179e-08,5.110467638093455e-08,1.0028571673063362,0.001436615970875252
Standard,KCl,-0.3,10.0,0.05,2.629988463073853e-06,7.622837354032685e-07,2.640584823685961e-06,7.781469831897072e-07,1.0596360612109086e-08,3.039741229404777e-08,1.0032537505272077,0.012506402112981211
Standard,KCl,-0.3,10.0,0.1,4.738818995342648e-06,1.5032590772348108e-06,4.811724610778443e-06,1.5139716647102203e-06,7.290561543579485e-08,2.0040380808678235e-08,1.015902978182406,0.0050770710466954356
Standard,KCl,-0.3,10.0,0.2,9.833740372588157e-06,2.9814981379884037e-06,9.955753113772456e-06,3.024373457723127e-06,1.220127411842985e-07,4.299178554891086e-08,1.0122786932427104,0.0007871669347634015
Standard,KCl,-0.3,10.0,0.4,1.9237635462408516e-05,6.3057455505651945e-06,1.947791763140386e-05,6.395265123411801e-06,2.4028216899534223e-07,1.1343843874593521e-07,1.012488354275182,0.004251466946107434
Standard,KCl,-0.3,40.0,0.05,2.7423490740740746e-06,7.896778993252927e-07,2.7587813492063493e-06,8.267583351247844e-07,1.6432275132274895e-08,7.603362095230772e-08,1.0038394042331762,0.03210189388215715
Standard,KCl,-0.3,40.0,0.1,5.0849073544973545e-06,1.6596457414270052e-06,5.161825714285714e-06,1.6541904769221749e-06,7.691835978835897e-08,1.2619585946721287e-08,1.0162854503175398,0.005895109619739419
Standard,KCl,-0.3,40.0,0.2,9.717133492063493e-06,3.0688559856169312e-06,9.887244153439154e-06,3.137381370559277e-06,1.7011066137566099e-07,7.035823029600215e-08,1.0171470175712887,0.0027494737065356656
Standard,KCl,-0.3,40.0,0.4,1.9462241005291005e-05,6.534430226841587e-06,1.989290714285714e-05,6.665505114134504e-06,4.306661375661359e-07,1.3676268552454258e-07,1.022215161645793,0.0023623417030311324
Standard,KCl,-0.2,0.01,0.05,1.8340322653605222e-06,1.0672478437764924e-06,1.8347647676929231e-06,1.0988067030777005e-06,7.325023324005038e-10,4.1641580375328003e-08,0.9938920806365045,0.029401604763110146
Standard,KCl,-0.2,0.01,0.1,4.622758110334217e-06,9.78011380986422e-07,4.646631899117178e-06,9.917424993287602e-07,2.387378878296065e-08,1.436428727010713e-08,1.0049258833627102,0.0019378290303639933
Standard,KCl,-0.2,0.01,0.2,1.0639135331200853e-05,3.5697259745782413e-06,1.0686739496201522e-05,3.575201719871396e-06,4.760416500066712e-08,8.083653242746284e-09,1.0046693107347109,0.0010000486148177086
Standard,KCl,-0.2,0.01,0.4,2.0447477902172465e-05,6.838508068417556e-06,2.047525755031321e-05,6.8900355631788786e-06,2.777964814074368e-08,5.219993040396255e-08,1.0009176860297178,0.0019804462080479997
Standard,KCl,-0.2,0.1,0.05,2.593599101796407e-06,8.207633358126607e-07,2.6121348369926812e-06,8.054466478159499e-07,1.8535735196274097e-08,1.5571514036239477e-08,1.0086887243624734,0.007381310049308273
Standard,KCl,-0.2,0.1,0.1,4.678072455089821e-06,1.4123880528090082e-06,4.681189334664005e-06,1.4115833866529187e-06,3.1168795741843813e-09,3.4847926728464613e-09,1.0007340056668044,0.0009401482265537003
Standard,KCl,-0.2,0.1,0.2,1.0746435495675315e-05,3.2785652132369835e-06,1.0776067890884896e-05,3.269482918610835e-06,2.9632395209580926e-08,1.4240212520830345e-08,1.0031272956112196,0.0023109079858127713
Standard,KCl,-0.2,0.1,0.4,1.9946057085828342e-05,6.460563678925846e-06,2.0070427877578176e-05,6.494550196796888e-06,1.2437079174983388e-07,4.527248617167556e-08,1.0063548556913482,0.0018786534574081466
Standard,KCl,-0.2,1.0,0.05,2.6470818666666667e-06,8.455001295996431e-07,2.651372133333333e-06,8.457931572303558e-07,4.29026666666634e-09,2.3746106296682584e-08,1.00167426671803,0.010975340231176545
Standard,KCl,-0.2,1.0,0.1,4.713137533333333e-06,1.509746636368107e-06,4.7383308e-06,1.4993319532776322e-06,2.5193266666666726e-08,2.8170567422281647e-08,1.0060982999570032,0.007631332999143286
Standard,KCl,-0.2,1.0,0.2,1.0364850066666668e-05,3.226377189373619e-06,1.0406092866666668e-05,3.2517204868282035e-06,4.124279999999996e-08,2.901202387355958e-08,1.0036809529863808,0.0022639489725688896
Standard,KCl,-0.2,1.0,0.4,1.9578452e-05,6.488266227233283e-06,1.9682170666666667e-05,6.557093381417207e-06,1.0371866666666474e-07,6.89905670170428e-08,1.004929768089452,0.0016649074875887211
Standard,KCl,-0.2,10.0,0.05,2.6308371190951433e-06,7.751619956378968e-07,2.651466826347305e-06,7.831398163631746e-07,2.0629707252162144e-08,2.021502534034274e-08,1.0077082687468697,0.00858281883223592
Standard,KCl,-0.2,10.0,0.1,4.732370771789754e-06,1.4933288879053182e-06,4.783005222887558e-06,1.4961882064140134e-06,5.0634451097804774e-08,1.965807253038528e-08,1.0112541110297901,0.005744582919314986
Standard,KCl,-0.2,10.0,0.2,9.888365349301398e-06,2.989378012304526e-06,9.97815107119095e-06,3.0138813698906277e-06,8.978572188955346e-08,2.755750817233671e-08,1.0090936813991984,0.0014206100556931867
Standard,KCl,-0.2,10.0,0.4,1.923017252162342e-05,6.348355310279525e-06,1.94612871590153e-05,6.42292393240842e-06,2.3111463739188246e-07,7.92039001757459e-08,1.0120812559172891,0.0016937293613382904
Standard,KCl,-0.2,40.0,0.05,2.743327301587302e-06,8.091721954926735e-07,2.81059537037037e-06,8.386069712291405e-07,6.726806878306838e-08,2.950610623826071e-08,1.0238887494923787,0.003396090628275464
Standard,KCl,-0.2,40.0,0.1,5.110010211640211e-06,1.628268132787582e-06,5.170277645502645e-06,1.6312963128690119e-06,6.026743386243427e-08,2.165925379678624e-08,1.0124160512834737,0.005963865361034288
Standard,KCl,-0.2,40.0,0.2,9.759422566137566e-06,3.072943657863949e-06,9.881220687830688e-06,3.127065431902037e-06,1.2179812169312254e-07,5.871193359970919e-08,1.0120829766081327,0.0035235813058396336
Standard,KCl,-0.2,40.0,0.4,1.9212408730158732e-05,6.488932229039453e-06,1.9594726190476187e-05,6.599371871089476e-06,3.8231746031745603e-07,1.1630785709029458e-07,1.020171526618149,0.002708845709596283
Standard,KCl,-0.1,0.01,0.05,1.8433172888178065e-06,1.1149395837257677e-06,1.8483761705984274e-06,1.102580726780688e-06,5.05888178062096e-09,1.247136176817971e-08,1.0058586809735146,0.008002881570720542
Standard,KCl,-0.1,0.01,0.1,4.661174812646161e-06,9.6578602927838e-07,4.6378393350408955e-06,9.856125372792439e-07,-2.3335477605265286e-08,2.220645026107808e-08,0.9943322470692492,0.005254714726224937
Standard,KCl,-0.1,0.01,0.2,1.0848371916566707e-05,3.606092616114658e-06,1.0869692479008396e-05,3.6372525699990776e-06,2.1320562441690372e-08,3.194404699253113e-08,1.0015102513920053,0.0020927839059459853
Standard,KCl,-0.1,0.01,0.4,2.106969069705451e-05,6.923781548898647e-06,2.1067969652139144e-05,6.960923792230194e-06,-1.7210449153704561e-09,3.941120580029272e-08,0.9995059456885446,0.0021468045232047117
Standard,KCl,-0.1,0.1,0.05,2.560310964737192e-06,8.21749354718405e-07,2.564808190286095e-06,8.46580419815003e-07,4.4972255489021754e-09,2.5356115975316533e-08,1.0000140605314995,0.008464658340183468
Standard,KCl,-0.1,0.1,0.1,4.684013173652695e-06,1.437852719076031e-06,4.698019953426481e-06,1.4513572471641688e-06,1.4006779773785828e-08,1.4001603401229182e-08,1.0026307700178352,0.0019971867931757622
Standard,KCl,-0.1,0.1,0.2,1.0805396307385228e-05,3.272528091494173e-06,1.0827333180306056e-05,3.282665565561046e-06,2.1936872920826688e-08,2.205379840200345e-08,1.0019115608134521,0.002201064389494325
